date,capture_price,avg_lmp,solar_gwh,adj_capture_price,curtailed_gwh,potential_gwh,curtailment_rate,capture_ratio,adj_capture_ratio,adj_discount
2025-01-01,23.499,36.407,84.565,23.503,2.275,86.841,0.026,0.645,0.646,-0.0
2025-01-02,28.439,39.101,92.026,28.424,1.666,93.691,0.018,0.727,0.727,0.0
2025-01-03,37.552,41.917,58.452,37.55,0.032,58.485,0.001,0.896,0.896,0.0
2025-01-04,10.845,31.014,79.798,10.755,2.238,82.036,0.027,0.35,0.347,0.003
2025-01-05,8.539,31.683,88.955,8.553,0.284,89.239,0.003,0.27,0.27,-0.0
2025-01-06,15.918,33.676,90.198,15.906,1.085,91.283,0.012,0.473,0.472,0.0
2025-01-07,15.607,38.309,73.303,15.581,0.73,74.032,0.01,0.407,0.407,0.001
2025-01-08,21.502,39.17,79.023,21.497,0.096,79.119,0.001,0.549,0.549,0.0
2025-01-09,23.496,40.252,95.623,23.345,3.871,99.494,0.039,0.584,0.58,0.004
2025-01-10,13.564,32.223,94.268,13.472,3.452,97.72,0.035,0.421,0.418,0.003
2025-01-11,2.934,29.522,88.274,2.575,10.578,98.852,0.107,0.099,0.087,0.012
2025-01-12,3.131,35.922,97.992,3.062,2.099,100.09,0.021,0.087,0.085,0.002
2025-01-13,8.802,39.029,100.32,8.74,1.916,102.236,0.019,0.226,0.224,0.002
2025-01-14,15.714,45.135,98.602,15.505,4.512,103.115,0.044,0.348,0.344,0.005
2025-01-15,12.114,42.215,95.97,11.817,6.852,102.822,0.067,0.287,0.28,0.007
2025-01-16,13.483,39.257,89.963,13.585,0.822,90.786,0.009,0.343,0.346,-0.003
2025-01-17,0.033,32.443,86.761,-0.699,15.826,102.587,0.154,0.001,-0.022,0.023
2025-01-18,13.643,53.049,99.315,13.463,2.549,101.864,0.025,0.257,0.254,0.003
2025-01-19,6.604,46.768,103.844,6.513,1.205,105.05,0.011,0.141,0.139,0.002
2025-01-20,21.878,56.381,104.04,21.816,0.881,104.921,0.008,0.388,0.387,0.001
2025-01-21,33.026,63.044,102.713,32.8,4.747,107.46,0.044,0.524,0.52,0.004
2025-01-22,22.918,46.205,96.143,22.903,0.561,96.704,0.006,0.496,0.496,0.0
2025-01-23,17.485,43.927,103.776,17.307,6.976,110.752,0.063,0.398,0.394,0.004
2025-01-24,20.015,42.437,103.175,20.118,3.706,106.882,0.035,0.472,0.474,-0.002
2025-01-25,23.809,40.263,55.367,23.719,0.789,56.156,0.014,0.591,0.589,0.002
2025-01-26,36.389,48.159,50.521,36.397,0.556,51.077,0.011,0.756,0.756,-0.0
2025-01-27,40.988,53.947,81.305,40.964,1.236,82.541,0.015,0.76,0.759,0.0
2025-01-28,26.666,49.163,97.809,26.481,4.846,102.656,0.047,0.542,0.539,0.004
2025-01-29,16.22,39.879,99.801,15.543,11.63,111.431,0.104,0.407,0.39,0.017
2025-01-30,9.843,35.268,106.148,9.182,13.604,119.752,0.114,0.279,0.26,0.019
2025-01-31,15.908,35.993,85.115,15.826,3.347,88.462,0.038,0.442,0.44,0.002
